timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
133064.50613169995,-1600.0105112803592,-3483.9908554692097,-3010.3105914963,-2925.599750109732,-3154.781091783177,-3462.425962267931,-1819.6967271353874,-2097.9301943770283
133064.51013169994,-1609.6427161565682,-3371.1637896569123,-2978.5152350086255,-3029.4234284816303,-3193.851941091054,-3343.396287369286,-1756.0576435880535,-2110.1545031180385
133064.51413169992,-1648.6005843811436,-3382.192280069564,-2871.693978157667,-2990.2767927902096,-3301.486766515585,-3385.4734463064015,-1631.7969619948522,-2049.5467002894525
133064.5181316999,-1749.230058771975,-3422.036360037191,-2883.3437772169746,-2887.2418865253794,-3270.56766825976,-3517.0022865536557,-1672.9540323262254,-1967.2568322242003
133064.5221316999,-1692.0088944743748,-3523.52236026047,-2921.4019877272235,-2907.277955330516,-3165.1568414085323,-3484.2814281471287,-1809.78477620748,-2013.2829157637557
133064.490391,-1588.7054180300736,-3464.2409937669036,-3017.143589625489,-2946.094029676203,-3176.4266608120993,-3356.4720578756405,-1778.6765612388028,-2105.8528400484133
133064.494391,-1627.6590953025634,-3359.8649828347548,-2959.659443084531,-3034.606937719219,-3213.925903087962,-3364.925557477839,-1646.3095305744746,-2066.988045884734
133064.49839099997,-1741.617368931904,-3400.6771727341024,-2861.206644433039,-2971.340325038472,-3308.261440561586,-3409.3943530716724,-1652.2404262672874,-1974.310204583878
133064.50239099996,-1711.3592187445427,-3516.110312251486,-2901.0351829533497,-2878.401771593305,-3251.968572150895,-3526.296072048971,-1697.3025908272077,-1996.0168916640453
133064.50639099994,-1600.0105112803592,-3483.9908554692097,-3010.3105914963,-2925.599750109732,-3154.781091783177,-3462.425962267931,-1819.6967271353874,-2032.0610004512669
133064.51039099993,-1582.428594167214,-3371.1637896569123,-2978.5152350086255,-3029.4234284816303,-3193.851941091054,-3343.396287369286,-1756.0576435880535,-2110.1545031180385
133064.51439099992,-1648.6005843811436,-3353.7629565984557,-2871.693978157667,-2990.2767927902096,-3301.486766515585,-3385.4734463064015,-1631.7969619948522,-2049.5467002894525
133064.5183909999,-1749.230058771975,-3422.036360037191,-2855.5313968174337,-2887.2418865253794,-3270.56766825976,-3517.0022865536557,-1672.9540323262254,-1967.2568322242003
