subject,phase,n_samples,duration_s,sr_hz,fz_artifact_pct,pz_artifact_pct,n_windows,mean_ratio,median_ratio,std_ratio,mean_theta_fz,mean_alpha_pz
Rafael,baseline_eyes_open,1804,90.1527931999999,20.01047262060874,75.16629711751663,82.59423503325942,66,16.319467254715576,10.07819546978249,18.69512925535878,1.055844656305578,0.08444077785114659
Rafael,baseline_eyes_closed,1806,90.23416330000055,20.014592411031856,67.99557032115172,73.36655592469546,79,18.91875200747226,11.333246791132087,21.25316104344451,2.8119405418290775,0.11428830823037277
Rafael,low_cognitive_load,333,16.611408900000242,20.046463367715614,76.27627627627628,80.78078078078079,8,21.835569405899147,5.814609125819667,30.906605091242767,1.0538813872785542,0.08365205143703211
Rafael,high_cognitive_load,676,33.73642050000035,20.037691906288426,74.2603550295858,79.88165680473372,22,32.64008148801212,37.34320238613745,21.03919390032287,0.9054794713395764,0.03906285677930363
edwin2,baseline_eyes_open,234,89.46153029999732,2.615649421771707,1.7094017094017093,1.2820512820512822,0,,,,,
edwin2,baseline_eyes_closed,234,89.74579980000453,2.6073643615797177,0.42735042735042733,0.42735042735042733,0,,,,,
edwin2,low_cognitive_load,473,179.5690917999982,2.6340836012403597,1.0570824524312896,0.6342494714587738,0,,,,,
edwin2,high_cognitive_load,464,179.73205930000404,2.5816206736134,1.7241379310344827,1.9396551724137931,0,,,,,
eliza,baseline_eyes_open,234,89.64705529999992,2.6102363230663777,2.1367521367521367,10.256410256410257,0,,,,,
eliza,baseline_eyes_closed,234,89.56441430000086,2.6126447856422566,0.8547008547008547,1.7094017094017093,0,,,,,
eliza,low_cognitive_load,460,179.5701209000008,2.561673388058614,1.7391304347826086,9.347826086956522,0,,,,,
eliza,high_cognitive_load,459,179.69876729999987,2.554274616885479,1.9607843137254901,3.9215686274509802,0,,,,,
heberto,baseline_eyes_open,4500,89.98852160000013,50.0063777022868,18.288888888888888,33.28888888888889,171,3.019549035485206,0.2055848659636889,11.961921993384498,43.1498536857989,107.3919316561427
heberto,baseline_eyes_closed,4500,89.98063280000008,50.01076187141458,14.333333333333334,33.333333333333336,168,1.5169255750580726,0.11429024347365704,5.9729541381700315,30.112220681656147,139.52005148898573
heberto,low_cognitive_load,9000,179.97340910000003,50.007387452438934,6.9,16.455555555555556,341,0.21172477291613195,0.08401364805138348,0.6726985653561505,10.569494055749749,99.64147672671331
heberto,high_cognitive_load,9000,179.98575849999906,50.00395628524157,7.133333333333334,10.066666666666666,347,0.3477157148272396,0.12564252911351803,0.8446535406683252,12.584216443433782,79.67480694937045
jonhy,baseline_eyes_open,4502,90.05654779993347,49.990812550371004,1.6437139049311418,1.5770768547312306,179,2.1182357959339266,0.47898967428455547,9.639211692825057,1.1111794163100326,2.6144535000459124
jonhy,baseline_eyes_closed,4533,90.68710509990342,49.98505570341364,0.6838738142510479,0.8382969335980587,178,0.41262573485897763,0.1582349877092186,0.8574153813659071,0.5440017443658404,4.541646628223146
jonhy,low_cognitive_load,9036,180.77846109992242,49.98383073415751,2.135900841080124,1.9920318725099602,357,0.8295507536002205,0.3256207037759119,1.5470332508722182,0.7528698622654246,1.7729960766872557
jonhy,high_cognitive_load,8991,180.716387799941,49.751990450104245,5.29418307196085,4.726949171393616,357,1.7798377442556783,0.8471590854064658,2.9223457817560416,6.128050197591026,5.97328819348882
mai,baseline_eyes_open,242,90.11795310000161,2.685369470514479,2.0661157024793386,3.71900826446281,0,,,,,
mai,baseline_eyes_closed,242,89.95597539999835,2.690204835464487,1.6528925619834711,2.479338842975207,0,,,,,
mai,low_cognitive_load,322,120.27022529999886,2.677304371857721,1.2422360248447204,3.7267080745341614,0,,,,,
mai,high_cognitive_load,323,120.68780339999466,2.6763267778557838,3.4055727554179565,9.907120743034056,0,,,,,
michelle,baseline_eyes_open,4518,90.38604520000808,49.985592244936456,0.7746790615316512,1.0181496237273129,179,0.7364606321926737,0.34698060003642944,1.055896556435115,1.3179963219792794,2.9625018282833095
michelle,baseline_eyes_closed,4514,90.29181019999669,49.993459982710206,0.5316792202038104,0.31014621178555607,124,0.05527186156152179,0.03336157788891863,0.0777960088462462,0.8269241887164102,26.662203572519278
michelle,low_cognitive_load,9034,180.669556199995,50.002890304328155,0.6973655080805845,1.062652202789462,344,0.43914071917046993,0.1346167315826687,0.9279996137762393,1.410847593987699,6.56284284849234
michelle,high_cognitive_load,9042,180.841728899999,49.99952198532675,0.630391506303915,1.094890510948905,348,0.5613506600994833,0.12438383413338602,2.370362946651731,1.3789506901098985,7.8143349800319495
clau2,baseline_eyes_open,4520,90.37375979992794,50.01451759898568,1.0176991150442478,0.7522123893805309,179,0.8237233521083476,0.4287539823698316,1.1103583954781273,1.775305584825354,3.6741755749316716
clau2,baseline_eyes_closed,4518,90.36578009993536,49.99680183144052,0.7746790615316512,0.2877379371403276,179,0.30401339706968333,0.15289824853376058,0.39174649417415064,1.6885051024517206,9.968832282123923
clau2,low_cognitive_load,9038,180.7210494999308,50.01077641486063,0.8630227926532419,1.0179243195397212,360,0.8448304854626872,0.4096270833624944,1.4680609636458162,1.7525673376421196,3.739223616181099
clau2,high_cognitive_load,9034,180.62167259998387,50.016146290524425,0.7748505645339827,0.7748505645339827,360,0.7290437088829791,0.4165373696385712,0.9924154646992903,1.3473863214887691,3.222620270967472
