timestamp,phase,label,ecological_modality,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
46872.6816648,idle,idle,,-1835.5918725814433,-1601.9816729865965,-4210.157514745401,-3890.841486234143,-3066.969517555823,-4681.419857247273,-3133.2697398869914,-5271.589639109688
46872.6725316,idle,idle,,-1556.4750519117815,-1348.960983858063,-3593.96760231684,-3318.2955606120895,-2599.3190687987744,-3995.412398832352,-2663.378963783894,-4492.67974982438
46872.692531600005,idle,idle,,-1308.1997830999908,-1130.594967728245,-3014.888879313209,-2784.650538246457,-2177.5024129156827,-3353.838765360548,-2231.3597701197496,-3763.693425321244
46872.8500394,idle,idle,,-1048.348041098549,-908.2616981671139,-2413.115343761259,-2246.5294699595024,-1757.4306422917634,-2716.179950264109,-1795.0190004907868,-3050.475389458459
46872.870039400004,idle,idle,,-776.8260141432066,-668.6371316846646,-1846.493614846441,-1704.1196703076878,-1342.528398453501,-2081.3509942763676,-1361.9368834736588,-2351.6381609578107
46872.8689831,idle,idle,,-513.2189577651719,-436.69502216582856,-1279.4463356738163,-1180.4073156682543,-916.3736878682627,-1449.4495035197028,-923.7059135985223,-1632.0442326070322
46872.888983100005,idle,idle,,-315.0026973270375,-258.3648622942337,-786.2616040252252,-718.7222637114191,-536.6303210794538,-885.3912894402154,-558.6271541466638,-983.2129756091033
46872.880860900004,idle,idle,,-117.08728170730123,-89.97261485195835,-322.1560443158532,-294.76182243932215,-212.3406590060941,-371.0435939704539,-223.87200669139435,-399.766013856456
46872.8721267,idle,idle,,64.49598306954577,66.83652048583383,106.57856758016301,100.76034987324026,89.6357703202883,104.97332100143782,94.98480508766791,123.92993280679052
46872.892126700004,idle,idle,,242.05985052191835,226.5767509040904,519.6953867402675,473.72253108741694,379.7746103616584,551.7316860891403,392.02979413912635,606.9120868905909
46872.9385473,idle,idle,,391.1607687367644,350.2682635765656,857.9168311111034,796.9067625313046,633.9032695485857,954.9507325019156,650.5249576358915,1062.2192202738668
46872.958547300004,idle,idle,,519.5555967235449,460.7716918374256,1166.6360463996184,1075.7286455072106,861.5016872415085,1294.331471450765,874.0842416268272,1453.1469114509805
46872.952736700005,idle,idle,,617.0963291146339,544.324900656843,1416.6397218243549,1298.878896954666,1040.8465903602653,1573.0197326109317,1053.8576876069867,1781.7902435819399
46872.97273670001,idle,idle,,713.475879481017,629.074113516334,1632.5535812711396,1508.5270707200903,1195.6262951719807,1817.6103759823263,1219.1406126460531,2047.4333295285544
